0.175	0.782	0.565	0.033	0.689	0.963	0.296	0.595
0.787	0.965	0.526	0.079	0.585	0.11	0.476	0.432
0.247	0.689	0.572	0.104	0.393	0.593	0.744	0.376
0.591	0.615	0.599	0.949	0.483	0.978	0.496	0.390
0.5	0.003	0.416	0.898	0.597	0.451	0.374	0.432
0.564	0.745	0.917	0.115	0.599	0.79	0.049	0.283
0.41	0.739	0.225	0.831	0.65	0.372	0.72	0.315
0.538	0.783	0.714	0.544	0.465	0.59	0.774	0.363
0.633	0.815	0.434	0.792	0.526	0.65	0.749	0.453
0.758	0.861	0.282	0.872	0.38	0.153	0.351	0.356
0.584	0.72	0.294	0.877	0.323	0.908	0.677	0.299
0.81	0.581	0.01	0.936	0.351	0.332	0.367	0.275
0.252	0.984	0.326	0.791	0.33	0.733	0.707	0.315
0.712	0.917	0.755	0.982	0.14	0.009	0.293	0.571
0.289	0.083	0.578	0.065	0.184	0.363	0.093	0.514
0.606	0.982	0.182	0.124	0.292	0.806	0.783	0.378
0.312	0.215	0.751	0.116	0.41	0.042	0.715	0.547
0.303	0.502	0.546	0.101	0.413	0.16	0.902	0.665
0.637	0.606	0.141	0.143	0.428	0.876	0.77	0.390
0.253	0.535	0.008	0.765	0.516	0.347	0.328	0.441
0.215	0.249	0.256	0.89	0.565	0.226	0.103	0.679
0.223	0.451	0.063	0.208	0.597	0.713	0.577	0.622
0.651	0.349	0.071	0.762	0.598	0.052	0.608	0.676
0.327	0.547	0.01	0.074	0.612	0.736	0.528	0.731
0.767	0.75	0.134	0.756	0.622	0.349	0.249	0.513
0.762	0.334	NA	0.181	0.623	0.258	0.61	0.406
0.589	0.585	NA	0.989	0.724	0.505	0.378	0.595
0.426	0.457	NA	0.852	0.724	0.855	0.281	0.283
0.354	0.7	NA	0.081	NA	0.872	0.374	0.431
0.251	0.298	NA	0.839	NA	0.862	0.847	0.479
0.58	0.283	NA	0.866	NA	0.081	0.508	0.479
0.281	0.365	NA	0.076	NA	0.213	0.909	0.447
0.522	0.255	NA	0.789	NA	0.92	0.259	0.413
0.197	0.41	NA	0.151	NA	0.058	0.435	0.453
0.219	0.41	NA	0.381	NA	0.963	0.883	0.335
0.217	0.094	NA	0.042	NA	0.29	0.294	0.585
0.766	0.765	NA	0.813	NA	0.086	0.777	0.356
0.977	0.564	NA	0.014	NA	0.144	0.631	0.677
0.29	0.26	NA	0.838	NA	0.285	0.903	0.457
0.176	0.342	NA	0.969	NA	0.258	0.266	0.690
0.347	0.43	NA	0.91	NA	0.41	0.887	0.650
0.701	0.489	NA	0.85	NA	0.36	0.238	0.467
0.234	0.342	NA	0.876	NA	0.208	0.451	0.416
0.955	0.744	NA	0.109	NA	0.558	0.947	0.285
0.287	0.709	NA	0.813	NA	0.258	0.284	0.318
0.265	0.284	NA	0.833	NA	0.681	0.263	0.483
0.305	0.316	NA	0.863	NA	0.414	0.669	0.460
0.96	0.368	NA	0.797	NA	0.249	0.466	0.523
0.223	0.338	NA	0.752	NA	0.543	0.445	0.383
0.034	0.644	NA	0.751	NA	0.324	0.777	0.552
0.101	0.305	NA	0.822	NA	0.729	0.651	0.526
0.971	0.258	NA	0.766	NA	0.167	0.415	0.360
0.358	0.359	NA	0.75	NA	0.317	0.572	0.633
0.338	0.31	NA	0.794	NA	0.069	0.613	0.481
0.286	0.117	NA	0.247	NA	0.043	0.279	0.335
0.875	0.647	NA	0.261	NA	0.046	0.423	0.673
0.91	0.621	NA	0.922	NA	0.056	0.467	0.346
0.797	0.758	NA	0.253	NA	0.065	0.369	0.613
0.192	0.458	NA	0.281	NA	0.075	0.247	0.317
0.088	0.306	NA	0.324	NA	0.081	0.515	0.409
0.648	0.331	NA	0.731	NA	0.083	0.403	0.393
0.081	0.257	NA	0.119	NA	0.097	0.722	0.571
0.489	0.738	NA	0.16	NA	0.106	0.842	0.653
0.731	0.733	NA	0.076	NA	0.14	0.245	0.678
0.284	0.636	NA	0.16	NA	0.142	0.753	0.401
0.763	0.756	NA	0.114	NA	0.149	0.449	0.434
0.299	0.243	NA	0.023	NA	0.192	0.417	0.612
0.131	0.781	NA	0.144	NA	0.192	0.767	0.433
0.712	0.329	NA	0.924	NA	0.208	0.278	0.501
0.916	0.24	NA	0.327	NA	0.21	0.338	0.356
0.929	0.361	NA	0.848	NA	0.21	0.847	0.449
0.22	0.292	NA	0.016	NA	0.26	0.389	0.453
0.758	0.301	NA	0.742	NA	0.297	0.674	0.349
0.043	0.067	NA	0.148	NA	0.3	0.718	0.469
0.103	0.33	NA	0.019	NA	0.301	0.726	0.333
0.836	0.339	NA	0.828	NA	0.628	0.433	0.538
0.787	0.477	NA	0.044	NA	0.648	0.033	0.310
0.965	0.76	NA	0.858	NA	0.773	0.127	0.374
0.168	0.358	NA	0.119	NA	0.819	0.181	0.320
0.793	0.31	NA	0.953	NA	0.819	0.692	0.344
0.874	0.334	NA	0.07	NA	0.835	0.771	0.650
0.242	0.429	NA	0.987	NA	0.854	0.766	0.620
0.826	0.553	NA	0.149	NA	0.858	0.696	0.688
0.243	0.491	NA	0.549	NA	0.875	0.647	0.744
0.833	0.347	NA	0.142	NA	0.885	0.629	0.369
0.733	0.778	NA	0.158	NA	0.952	0.583	0.428
0.558	0.933	NA	0.962	NA	NA	0.542	0.558
0.558	0.303	NA	0.015	NA	NA	0.542	0.491
0.801	0.701	NA	0.11	NA	NA	0.51	0.347
0.264	0.771	NA	0.88	NA	NA	0.509	0.581
0.219	0.578	NA	0.856	NA	NA	0.497	0.388
